recipe_id,title,description,instructions,dish_type,taste_profile,keyword
1,Adobo,"A traditional Filipino dish made with pork marinated in soy sauce, vinegar, garlic, and spices, then simmered until tender.","1 kg pork belly, 1/2 cup soy sauce, 1/4 cup vinegar, 5 cloves garlic, 3 bay leaves, 1 tsp peppercorns, 1 tsp sugar (optional), 1/2 cup water, salt to taste,""1. Marinate pork in soy sauce, vinegar, garlic, and bay leaf for 30 minutes. 2. Cook marinated pork in a pot over medium heat until browned. 3. Add water and simmer until pork is tender. 4. Adjust seasoning and serve with rice.""",main dish,savory,"pork belly, soy sauce, vinegar, garlic, bay leaves, peppercorns, sugar (optional), water, salt to taste"
2,Sinigang na Baboy,"A tangy pork soup with a savory-sour flavor from tamarind, cooked with vegetables like radish, eggplant, and string beans.","1 kg pork spare ribs, 5 cups water, 1 cup tamarind pulp, 2 tomatoes, 1 onion, 1 radish, 100g string beans, 2 eggplants, 1 cup kangkong leaves, 1 green chili, salt to taste,""1. Boil pork with water and tamarind. 2. Add tomatoes, onions, and other vegetables. 3. Season with fish sauce and simmer until pork is tender. 4. Serve hot with rice.""",main dish,umami,"pork spare ribs, water, tamarind pulp, tomatoes, onion, radish, string beans, eggplants, kangkong leaves, green chili, salt to taste"
3,Kare-Kare,"A rich peanut stew with oxtail, tripe, and vegetables, typically served with bagoong (fermented shrimp paste).","1 kg oxtail, 1/2 cup peanut butter, 1 tbsp annatto seeds, 1 eggplant, 100g string beans, 1 banana heart, 1 cup bok choy, 5 cloves garlic, 1 onion, shrimp paste to taste,""1. Brown oxtail and tripe, then simmer until tender. 2. Add peanut butter and vegetables, cook until soft. 3. Serve with bagoong (fermented shrimp paste).""",main dish,savory,"oxtail, peanut butter, annatto seeds, eggplant, string beans, banana heart, bok choy, garlic, onion, shrimp paste to taste"
4,Lechon Kawali,"Crispy pork belly deep-fried to perfection, often served with lechon sauce or vinegar for dipping.","1 kg pork belly, 1 tbsp salt, 1 tbsp peppercorns, 3 bay leaves, 5 cloves garlic, oil for frying,""1. Boil pork belly until tender. 2. Deep-fry until crispy, then slice and serve with dipping sauce.""",main dish,spicy,"pork belly, salt, peppercorns, bay leaves, garlic, oil for frying"
5,Tinolang Manok,"A light chicken soup with ginger, papaya, and chili leaves, creating a comforting and nutritious dish.","1 kg chicken, 1 green papaya, 50g ginger, 5 cloves garlic, 1 onion, 1 cup malunggay leaves, 1 tbsp fish sauce, salt and pepper to taste,""1. Sauté ginger and onion, then add chicken. 2. Pour water and add green papaya and chili leaves. 3. Simmer until chicken is cooked through. 4. Season with salt and serve hot.""",main dish,savory,"chicken, green papaya, ginger, garlic, onion, malunggay leaves, fish sauce, salt and pepper to taste"
6,Pancit Canton,"Stir-fried egg noodles with vegetables, pork, shrimp, and soy sauce, commonly served at Filipino gatherings.","200g pancit canton noodles, 100g chicken, 100g shrimp, 1 carrot, 1/2 cabbage, 1 bell pepper, 50g snow peas, 1 onion, 5 cloves garlic, 1/4 cup soy sauce, 2 tbsp oyster sauce, salt and pepper to taste,""1. Stir-fry pork and shrimp with garlic and onion. 2. Add soy sauce, broth, and noodles, then cook until tender. 3. Add vegetables and stir-fry until well-mixed. 4. Serve warm with calamansi.""",main dish,savory,"pancit canton noodles, chicken, shrimp, carrot, cabbage, bell pepper, snow peas, onion, garlic, soy sauce, oyster sauce, salt and pepper to taste"
7,Bulalo,"A beef marrow soup with corn and vegetables, slow-cooked to bring out its rich, meaty flavor.","1 kg beef shank, 4 corn on the cob, 1 bunch bok choy, 100g string beans, 1 onion, 5 cloves garlic, 1 tbsp peppercorns, 1 tbsp fish sauce, salt to taste,""1. Boil beef shank with onion and peppercorns until tender. 2. Add corn and vegetables, then simmer. 3. Season with salt and serve hot.""",main dish,umami,"beef shank, corn on the cob, bok choy, string beans, onion, garlic, peppercorns, fish sauce, salt to taste"
8,Bicol Express,"A spicy dish made with pork belly cooked in coconut milk and chili, originating from the Bicol region.","1 kg pork belly, 2 cups coconut milk, 1/2 cup coconut cream, 3 tbsp shrimp paste, 5 green chili peppers, 2 red chili peppers, 5 cloves garlic, 1 onion, salt to taste,""1. Sauté pork belly with garlic and chili. 2. Add coconut milk and simmer until pork is tender. 3. Season with salt and serve over rice.""",main dish,spicy,"pork belly, coconut milk, coconut cream, shrimp paste, green chili peppers, red chili peppers, garlic, onion, salt to taste"
9,Inihaw na Liempo,"Grilled pork belly marinated in soy sauce and calamansi, delivering a smoky and flavorful taste.","1 kg pork belly, 1/4 cup soy sauce, 1/4 cup calamansi juice, 5 cloves garlic, 1 tsp pepper, salt to taste, oil for grilling,""1. Marinate pork belly in soy sauce, calamansi, and spices. 2. Grill until browned and cooked through. 3. Slice and serve with dipping sauce.""",main dish,savory,"pork belly, soy sauce, calamansi juice, garlic, pepper, salt to taste, oil for grilling"
10,Laing,"Taro leaves simmered in coconut milk and spicy chilis, creating a creamy, flavorful side dish.","200g dried taro leaves, 2 cups coconut milk, 2 tbsp shrimp paste, 5 cloves garlic, 1 onion, 50g ginger, 5 red chili peppers, salt to taste,""1. Boil taro leaves with coconut milk, chili, and spices. 2. Simmer until leaves are tender and sauce is creamy. 3. Serve with rice.""",main dish,savory,"dried taro leaves, coconut milk, shrimp paste, garlic, onion, ginger, red chili peppers, salt to taste"
11,Kaldereta,"A hearty stew made with beef, tomatoes, and bell peppers, usually served with steamed rice.","1 kg beef, 1 cup tomato sauce, 1/4 cup liver spread, 2 potatoes, 2 carrots, 1 bell pepper, 1/2 cup green peas, 1/4 cup olives, 1 onion, 5 cloves garlic, salt and pepper to taste,""1. Sauté beef with garlic and onions. 2. Add tomato sauce, bell peppers, and potatoes. 3. Simmer until beef is tender. 4. Serve with rice.""",main dish,savory,"beef, tomato sauce, liver spread, potatoes, carrots, bell pepper, green peas, olives, onion, garlic, salt and pepper to taste"
12,Paksiw na Pata,Pork hock braised in soy sauce and vinegar with banana blossoms for a sweet-savory flavor.,"1 kg pork hock, 1/4 cup vinegar, 1/4 cup soy sauce, 1/2 cup banana blossoms, 5 cloves garlic, 1 onion, 3 bay leaves, 1 tbsp peppercorns, 2 tbsp brown sugar,""1. Braise pork hock in soy sauce and vinegar with garlic. 2. Add banana blossoms and simmer until tender. 3. Serve with rice.""",main dish,savory,"pork hock, vinegar, soy sauce, banana blossoms, garlic, onion, bay leaves, peppercorns, brown sugar"
13,Pinakbet,"A vegetable dish cooked with shrimp paste, often including squash, eggplant, bitter melon, and okra.","200g squash, 1 eggplant, 1 bitter melon, 100g okra, 100g string beans, 2 tomatoes, 3 tbsp shrimp paste, 100g pork belly,""1. Sauté shrimp paste with garlic and onion. 2. Add vegetables and cook until tender. 3. Serve as a side dish.""",main dish,savory,"squash, eggplant, bitter melon, okra, string beans, tomatoes, shrimp paste, pork belly"
14,Ginataang Gulay,"Mixed vegetables cooked in coconut milk, creating a creamy and savory side dish.","200g squash, 100g string beans, 2 cups coconut milk, 100g shrimp, 5 cloves garlic, 1 onion, fish sauce to taste,""1. Sauté mixed vegetables with garlic and coconut milk. 2. Simmer until creamy and vegetables are tender. 3. Serve with rice.""",main dish,savory,"squash, string beans, coconut milk, shrimp, garlic, onion, fish sauce to taste"
15,Arroz Caldo,"A comforting rice porridge with chicken, ginger, and garlic, topped with fried garlic and green onions.","1 cup glutinous rice, 500g chicken, 5 cloves garlic, 1 onion, 50g ginger, 1 tbsp fish sauce, salt to taste, green onions for garnish,""1. Sauté garlic, onion, and ginger. 2. Add chicken and cook until browned. 3. Add rice and water, simmer until porridge is thick. 4. Garnish and serve warm.""",main dish,savory,"glutinous rice, chicken, garlic, onion, ginger, fish sauce, salt to taste, green onions for garnish"
16,Lumpiang Shanghai,"Crispy spring rolls filled with ground pork, carrots, and spices, commonly served as an appetizer.","500g ground pork, 1 carrot, 1 onion, 5 cloves garlic, 2 green onions, salt and pepper to taste, spring roll wrapper, oil for frying,""1. Mix ground pork with minced carrots and spices. 2. Wrap in spring roll wrapper and fry until crispy. 3. Serve with dipping sauce.""",main dish,savory,"ground pork, carrot, onion, garlic, green onions, salt and pepper to taste, spring roll wrapper, oil for frying"
17,Sinigang na Hipon,"A sour shrimp soup with tamarind and vegetables like radish, tomatoes, and green beans.","500g shrimp, 5 cups water, 1 cup tamarind pulp, 2 tomatoes, 1 onion, 1 radish, 100g string beans, 2 eggplants, 1 cup kangkong leaves, salt to taste,""1. Boil shrimp with tamarind and vegetables. 2. Season with fish sauce. 3. Serve hot with rice.""",main dish,savory,"shrimp, water, tamarind pulp, tomatoes, onion, radish, string beans, eggplants, kangkong leaves, salt to taste"
18,Tortang Talong,"Grilled eggplant omelette topped with ground pork or crab, a savory Filipino breakfast item.","4 eggplants, 3 eggs, salt and pepper to taste, oil for frying,""1. Grill eggplant until tender, then peel. 2. Mash and mix with eggs. 3. Fry until golden brown.""",main dish,savory,"eggplants, eggs, salt and pepper to taste, oil for frying"
19,Bopis,"A spicy pork lung dish cooked with vinegar, garlic, and chili, often served with rice.","1 kg pork lungs, 1/4 cup vinegar, 1 bell pepper, 1 carrot, 1 onion, 5 cloves garlic, chili to taste, salt and pepper to taste,""1. Sauté pork lung with garlic and vinegar. 2. Add spices and simmer until cooked through. 3. Serve with rice.""",main dish,savory,"pork lungs, vinegar, bell pepper, carrot, onion, garlic, chili to taste, salt and pepper to taste"
20,Sisig,"A sizzling dish made from chopped pig's face, flavored with onions, chili, and calamansi.","1 kg pork cheeks, 1 onion, 1/4 cup calamansi juice, salt and pepper to taste, mayonnaise to taste,""1. Grill chopped pig's face until crispy. 2. Serve sizzling with onions and chili.""",main dish,spicy,"pork cheeks, onion, calamansi juice, salt and pepper to taste, mayonnaise to taste"
21,Ginisang Monggo,"A savory mung bean stew with pork and leafy greens, a healthy and filling dish.","1 cup mung beans, 100g pork, 100g spinach leaves, 5 cloves garlic, 1 onion, 2 tomatoes, fish sauce to taste,""1. Cook mung beans with pork and garlic. 2. Add vegetables and simmer. 3. Serve with rice.""",main dish,savory,"mung beans, pork, spinach leaves, garlic, onion, tomatoes, fish sauce to taste"
22,Chicken Inasal,"Grilled chicken marinated in a tangy mixture of calamansi and soy sauce, typical of Bacolod region.","1 kg chicken, 1/4 cup calamansi juice, 5 cloves garlic, 50g ginger, 1/4 cup annatto oil, 1/4 cup vinegar, salt and pepper to taste,""1. Marinate chicken in calamansi and soy sauce. 2. Grill until cooked through. 3. Serve with dipping sauce.""",main dish,savory,"chicken, calamansi juice, garlic, ginger, annatto oil, vinegar, salt and pepper to taste"
23,Binagoongan,"Pork belly cooked with shrimp paste, resulting in a savory and slightly salty flavor.","1 kg pork belly, 3 tbsp shrimp paste, 2 tomatoes, 1 onion, 5 cloves garlic, 1/4 cup vinegar, green chili to taste,""1. Sauté pork belly with shrimp paste and tomatoes. 2. Simmer until tender and serve with rice.""",main dish,savory,"pork belly, shrimp paste, tomatoes, onion, garlic, vinegar, green chili to taste"
24,Longganisa,"Sweet and garlicky Filipino sausage, usually served with rice and a fried egg.","500g ground pork, 5 cloves garlic, 1/4 cup brown sugar, 1/4 cup vinegar, salt and pepper to taste, sausage casing,""1. Shape pork into sausage links with garlic and spices. 2. Fry until browned and serve with rice.""",main dish,savory,"ground pork, garlic, brown sugar, vinegar, salt and pepper to taste, sausage casing"
25,Crispy Pata,"Deep-fried pork leg served with a vinegar dipping sauce, crispy and flavorful.","1 kg pork leg, 1 tbsp salt, 1 tbsp peppercorns, 3 bay leaves, 5 cloves garlic, oil for frying,""1. Boil pork leg until tender. 2. Deep-fry until crispy and serve with dipping sauce.""",main dish,savory,"pork leg, salt, peppercorns, bay leaves, garlic, oil for frying"
26,Tapsilog,"Beef tapa served with garlic rice and a fried egg, a popular Filipino breakfast meal.","500g beef tapa, 5 cloves garlic, 1/4 cup vinegar, 1/4 cup soy sauce, salt and pepper to taste, 2 fried eggs, garlic fried rice,""1. Marinate beef, then fry with garlic rice and egg. 2. Serve hot with vinegar.""",main dish,savory,"beef tapa, garlic, vinegar, soy sauce, salt and pepper to taste, fried eggs, garlic fried rice"
27,Dinuguan,"A savory pork blood stew flavored with vinegar and spices, known for its unique flavor.","1 kg pork belly, 1 cup pork blood, 1/4 cup vinegar, 5 cloves garlic, 1 onion, green chili to taste, salt and pepper to taste,""1. Simmer pork blood with vinegar and spices. 2. Add pork cuts and serve with rice.""",main dish,savory,"pork belly, pork blood, vinegar, garlic, onion, green chili to taste, salt and pepper to taste"
28,Chicharon Bulaklak,"Deep-fried pork intestines, a crunchy and flavorful Filipino snack.","500g pork intestines, 1 tbsp salt, 1/4 cup vinegar, 5 cloves garlic, oil for frying,""1. Deep-fry pork intestines until crispy. 2. Serve with dipping sauce.""",main dish,savory,"pork intestines, salt, vinegar, garlic, oil for frying"
29,Kutsinta,"Steamed rice cake topped with grated coconut, often served as a snack or dessert.","1 cup rice flour, 1/2 cup brown sugar, 1/4 tsp lye water, annatto seeds, grated coconut for topping,""1. Steam rice flour mixture with annatto and sugar. 2. Top with coconut and serve.""",main dish,savory,"rice flour, brown sugar, lye water, annatto seeds, grated coconut for topping"
30,Bibingka,"A baked rice cake with a slight sweetness, often enjoyed during Christmas.","1 cup rice flour, 1 cup coconut milk, 2 eggs, 1/2 cup sugar, 1/2 tsp baking powder, banana leaves, salted egg slices,""1. Mix rice flour, coconut milk, and sugar. 2. Bake until set and serve warm.""",main dish,sweet,"rice flour, coconut milk, eggs, sugar, baking powder, banana leaves, salted egg slices"
31,Champorado,"Chocolate rice porridge, typically served hot for breakfast or dessert.","1 cup glutinous rice, 1/4 cup cocoa powder, 1/4 cup sugar, evaporated milk for serving,""1. Cook sticky rice with chocolate and sugar. 2. Serve hot with milk.""",main dish,sweet,"glutinous rice, cocoa powder, sugar, evaporated milk for serving"
32,Ube Halaya,"Purple yam jam, sweet and creamy, a popular Filipino dessert.","1 kg ube, 1 can condensed milk, 1 cup coconut milk, 1/4 cup butter, 1/4 cup sugar,""1. Cook purple yam with sugar and coconut milk. 2. Mash until smooth and serve.""",main dish,sweet,"ube, condensed milk, coconut milk, butter, sugar"
33,Sapin-Sapin,"A colorful layered sticky rice cake, usually served during special occasions.","1 cup glutinous rice flour, 1 cup coconut milk, 1 cup sugar, food coloring for layers, coconut curds for topping,""1. Layer sticky rice in colors and steam. 2. Serve as a sweet dessert.""",main dish,sweet,"glutinous rice flour, coconut milk, sugar, food coloring for layers, coconut curds for topping"
34,Turon,Sweet fried plantains wrapped in spring roll wrapper and caramelized with sugar.,"10 saba bananas, 10 lumpia wrappers, 1/4 cup brown sugar, jackfruit (optional), oil for frying,""1. Wrap plantain in spring roll wrapper with sugar. 2. Fry until golden and serve.""",main dish,sweet,"saba bananas, lumpia wrappers, brown sugar, jackfruit (optional), oil for frying"
35,Buko Pie,"A coconut custard pie with a soft and chewy texture, a popular Filipino dessert.","500g young coconut, 1 cup flour, 1/4 cup butter, 1/4 cup sugar, 1/2 cup evaporated milk, 1 tbsp cornstarch,""1. Prepare coconut custard and bake until set. 2. Serve warm as dessert.""",main dish,sweet,"young coconut, flour, butter, sugar, evaporated milk, cornstarch"
36,Halo-Halo,"A layered dessert with shaved ice, sweet beans, and various fruits, topped with leche flan and ube.","1 cup shaved ice, 1/4 cup milk, 1/4 cup sweetened beans, assorted jellies, 1/4 cup nata de coco,""1. Layer shaved ice with sweet beans, fruits, and toppings. 2. Serve cold.""",main dish,sweet,"shaved ice, milk, sweetened beans, assorted jellies, nata de coco"
37,Puto Bumbong,"Sticky rice topped with shredded coconut, served during the Christmas season.","1 cup glutinous rice flour, 1/2 cup purple food coloring, banana leaves, grated coconut for topping, 1/4 cup brown sugar,""1. Steam sticky rice with coconut. 2. Serve with sugar.""",main dish,sweet,"glutinous rice flour, purple food coloring, banana leaves, grated coconut for topping, brown sugar"
38,Empanada,Filipino-style meat pastry with a savory filling of ground meat and vegetables.,"500g ground pork, 1 potato, 1 carrot, 1 onion, 3 cloves garlic, salt and pepper to taste, dough for crust, oil for frying,""1. Fill pastry with meat filling and bake until golden. 2. Serve warm.""",main dish,savory,"ground pork, potato, carrot, onion, garlic, salt and pepper to taste, dough for crust, oil for frying"
39,Pandesal,"Soft and slightly sweet Filipino bread, often eaten for breakfast.","4 cups all-purpose flour, 1/2 cup sugar, 1 tsp salt, 2 tsp yeast, 1 cup milk, 1/4 cup butter, 1 egg,""1. Bake dough until golden. 2. Serve with butter.""",main dish,savory,"all-purpose flour, sugar, salt, yeast, milk, butter, egg"
40,Ensaladang Talong,"Roasted eggplant salad with tomatoes and onions, served with bagoong or fish sauce.","2 eggplants, 1 tomato, 1 onion, 1/4 cup vinegar, salt to taste, 1/4 cup fish sauce (optional),""1. Grill eggplant and serve with tomato and onion. 2. Garnish with bagoong.""",main dish,savory,"eggplants, tomato, onion, vinegar, salt to taste, fish sauce (optional)"
41,Bistek Tagalog,"Beef steak marinated in soy sauce and calamansi, topped with caramelized onions.","500g beef sirloin, 1/4 cup soy sauce, 1/4 cup calamansi juice, 2 onions, 1/2 cup water, salt and pepper to taste,""1. Marinate beef with calamansi and soy sauce. 2. Fry with onions and serve with rice.""",main dish,sweet,"beef sirloin, soy sauce, calamansi juice, onions, water, salt and pepper to taste"
42,Leche Flan,"A creamy caramel custard dessert, a staple at Filipino gatherings.","8 egg yolks, 1 can condensed milk, 1 can evaporated milk, 1/4 cup sugar for caramel,""1. Cook caramel custard until set. 2. Serve as dessert.""",main dish,savory,"egg yolks, condensed milk, evaporated milk, sugar for caramel"
43,Palabok,"Rice noodles with shrimp sauce, chicharon, and boiled eggs, a festive noodle dish.","200g rice noodles, 100g shrimp, 1/2 cup shrimp broth, 2 tbsp annatto oil, 1/4 cup crushed chicharon, 1 egg, 1 tbsp fish sauce, 2 tbsp green onions, calamansi for serving,""1. Boil rice noodles and layer with sauce and toppings. 2. Serve hot with lime.""",main dish,savory,"rice noodles, shrimp, shrimp broth, annatto oil, crushed chicharon, egg, fish sauce, green onions, calamansi for serving"
44,Lomi,"Thick egg noodle soup with meat and vegetables, commonly served hot and comforting.","200g egg noodles, 100g pork, 100g shrimp, 1 egg, 1/2 cup cabbage, 1 carrot, 5 cloves garlic, 1 onion, 1/4 cup fish sauce, 1/4 cup soy sauce,""1. Boil noodles with meat and vegetables. 2. Serve hot with broth.""",main dish,savory,"egg noodles, pork, shrimp, egg, cabbage, carrot, garlic, onion, fish sauce, soy sauce"
45,Camote Cue,"Sweet potato slices deep-fried and coated in caramelized sugar, a popular street food snack.","4 large camote, 1/2 cup brown sugar, oil for frying,""1. Deep-fry sweet potato slices. 2. Coat with caramelized sugar and serve.""",main dish,savory,"camote, brown sugar, oil for frying"
46,Dinengdeng,"A vegetable soup with squash, string beans, and bitter melon in fish sauce, native to Ilocos region.","100g winged beans, 100g squash, 100g eggplant, 1 tomato, 1 onion, 1/2 cup bagoong (fermented fish paste), salt to taste,""1. Simmer vegetables with fish sauce. 2. Serve with rice.""",main dish,savory,"winged beans, squash, eggplant, tomato, onion, bagoong, salt to taste"
47,Pinangat,A spicy and tangy dish of fish or meat cooked in a banana leaf with coconut milk and chili.,"300g taro leaves, 2 cups coconut milk, 2 tbsp shrimp paste, 5 cloves garlic, 1 onion, green chili to taste, salt and pepper to taste,""1. Wrap fish with banana leaf, add coconut milk. 2. Steam until cooked through.""",main dish,savory,"taro leaves, coconut milk, shrimp paste, garlic, onion, green chili to taste, salt and pepper to taste"
48,Chicken Adobo,"Chicken braised in soy sauce, vinegar, and garlic, a staple in Filipino households.","1 kg chicken, 1/2 cup soy sauce, 1/4 cup vinegar, 5 cloves garlic, 3 bay leaves, 1 tsp peppercorns, 1/2 cup water, salt to taste,""1. Marinate chicken in soy sauce and vinegar. 2. Simmer until tender and serve with rice.""",main dish,savory,"chicken, soy sauce, vinegar, garlic, bay leaves, peppercorns, water, salt to taste"
49,Pancit Palabok,"Rice noodles with a savory sauce, topped with shrimp, egg, and crushed chicharon.","200g rice noodles, 1/2 cup shrimp broth, 100g pork, 2 tbsp annatto oil, 2 tbsp crushed chicharon, 1 egg, 1/4 cup fish sauce, green onions for garnish,""1. Layer noodles with sauce, shrimp, and toppings. 2. Serve with calamansi.""",main dish,savory,"rice noodles, shrimp broth, pork, annatto oil, crushed chicharon, egg, fish sauce, green onions for garnish"
50,Nilagang Baka,"A hearty boiled beef dish with cabbage, corn, and potatoes, perfect for cold weather.","1 kg beef shank, 4 corn on the cob, 100g green beans, 1 onion, 3 cloves garlic, salt and pepper to taste, 1 bunch cabbage or bok choy,""1. Boil beef with vegetables. 2. Serve hot with rice.""",main dish,savory,"beef shank, corn on the cob, green beans, onion, garlic, salt and pepper to taste, cabbage or bok choy"
